country,secondary_enrollment,tertiary_enrollment,infant_mortality,life_expectancy,gdp_per_capita,gini_index,poverty_1.90_USD,high_tech_exports,rd_researchers,income_top_20_percent,slums,corruption,gov_effectivness,positive_affect,generosity,freedom
Iceland,88.62767,77.58835067749024,1.86,82.54536585365854,57168.99640623238,26.6375,0.025,22.191844423369453,6162.04343,36.2875,NaN,78.375,1.4953479290008544,0.8052994509538015,0.27173698246479033,0.9363683760166168
India,61.63147,25.176726150512682,36.22,68.3326,1669.9539575036367,35.7,22.5,8.368572097946068,208.30814,44.4,31.000000476837176,38.75,0.019001487689092756,0.5894701927900314,0.033576760720461604,0.8028619825839997
Indonesia,74.11730714285714,31.57905409071181,23.8,70.5583,3633.648450230149,38.64,6.9,9.387874945876316,203.35311666666666,46.14,26.574999809265126,35.75,-0.0815803673118353,0.7683996260166168,0.4539076119661331,0.8067987978458404
"Iran, Islamic Rep.",78.92823714285714,61.10927200317385,13.73,75.4967,5630.393501415409,39.91428571428571,0.41428571428571426,1.7400704767332047,883.9490079999999,46.65714285714286,24.5999994277954,27.5,-0.41255813986063006,0.5448112487792969,0.18169631343334913,0.729994879828559
Iraq,NaN,NaN,25.25,69.71029999999999,5737.399277745521,29.5,1.7,NaN,184.35916857142857,38.5,48.025000572204604,17.375,-1.206603717803955,0.488449040800333,-0.038599697911801435,0.5272767841815948
Ireland,97.94202666666666,72.96677818298338,3.18,81.48048780487805,61115.36780900198,32.266666666666666,0.3222222222222222,26.446616233335238,4758.484963333332,40.5,NaN,73,1.4399544239044189,0.7526504397392273,0.2441463865339756,0.8941797554492951
Israel,98.6073475,65.06166076660159,3.2399999999999998,82.17902439024391,37149.77774310392,40.111111111111114,0.36666666666666664,20.75153038093581,NaN,45.099999999999994,NaN,61.125,1.3123512506484984,0.6193414032459259,0.1217891275882721,0.7263474404811859
Italy,95.086195,63.36228866577147,3,82.78219512195122,34246.500979451186,35.144444444444446,1.411111111111111,7.855975504212736,2018.087451111111,41.51111111111111,NaN,46.75,0.48986366391181946,0.6215753793716431,-0.043583756498992446,0.6189110994338989
Jamaica,73.46165285714287,27.217984008789063,13.61,74.1486,5040.066008779092,NaN,NaN,4.237990198254528,NaN,NaN,59.13333257039386,40.625,0.27594188377261164,0.717694079875946,-0.07135209143161773,0.829825758934021
Japan,NaN,63.83177439371743,2.07,83.58956097560977,41608.58010277529,32.5,0.35,17.85564311882695,5193.361594444445,40.8,NaN,73.75,1.6332701444625854,0.7033089339733124,-0.1610277969804075,0.8095517694950104
Jordan,67.892126,35.76891922950746,15.2,74.00359999999999,4096.037843505102,33.7,0.1,2.1911517899137385,480.25994,42.4,19.25,48.5,0.08106996892020106,0.5690578669309616,-0.11797161102294922,0.7454056203365326
Kazakhstan,96.601579,50.468086624145506,12.18,71.238,10688.74976056905,27.51111111111111,0.011111111111111112,32.2773943844696,634.2699833333334,37.37777777777777,NaN,29.5,-0.18537796339951457,0.6587404191493988,-0.1126621964154765,0.8044378995895386
Kenya,NaN,10.539849996566765,35.78,64.2164,1458.4659064612936,40.8,37.1,4.898813866373565,221.38592,47.5,50.92500019073488,26.625,-0.41793595552444457,0.7270047962665558,0.17972651831805705,0.7533184826374054
"Korea, Rep.",97.09402,96.84599456787116,3.07,81.72780487804879,28508.02450551665,31.55,0.275,31.14202518339634,6692.735012222222,39.1,NaN,55.375,-0.2720632553100586,0.5849462211132049,-0.03715562220248911,0.629359757900238
Kosovo,NaN,NaN,NaN,71.37682926829268,3765.863606692329,28.2375,1,NaN,NaN,37.525,NaN,35.125,-0.40951889753341675,0.6183979034423828,0.12873931163921953,0.6663120567798615
Kuwait,85.944975,54.7492567698161,7.85,75.00919999999999,38569.32860727959,NaN,NaN,1.4637340387502156,363.29646125,NaN,NaN,42.625,-0.054123703949153425,0.6882787048816681,-0.02942027971148491,0.8212853372097015
Kyrgyz Republic,82.09839400000001,43.89712829589845,20.7,70.53121951219512,1191.0793883851316,28.139999999999997,1.44,8.172828421688411,NaN,38.019999999999996,9.69999980926514,27.375,-0.7265248000621796,0.6096555113792419,0.06249378954526037,0.8013806819915772
Lao PDR,50.9228,17.01053285598755,43.46,66.2511,2005.7808730011748,37.4,12.25,22.33989808718527,NaN,45.25,24.43333307902017,26.75,-0.6427185565233231,0.7256383299827576,0.19241230487823485,0.8963622450828552
Latvia,92.41476875000001,77.4473731994629,4.71,74.28048780487805,14887.867078897116,35.03,0.8,15.412238837874678,1802.1932211111111,42.13,NaN,55.25,0.9239043354988098,0.5695102413495382,-0.10768454772834149,0.6418658031357659
Lebanon,NaN,NaN,7.32,78.7099,7778.396958814618,31.8,0,5.34184092181431,NaN,40,57.0999984741211,28.125,-0.47443951666355133,0.46063713133335116,-0.007586166774854064,0.6180141776800155
Lesotho,39.962401428571425,10.685238565717428,71.51,50.1357,1157.2033443431644,44.9,27.2,0.2953291983449426,15.026074999999999,49.8,54.44999980926515,43.625,-0.5986367464065552,0.7130438089370728,-0.11313123628497124,0.705142080783844
Liberia,16.326235,10.726860046386735,65.27000000000001,61.951800000000006,683.9320487199079,34.25,43.05,NaN,NaN,42.05,68.6500015258789,35.125,-1.3112276196479797,0.6060184921537127,-0.002716563775071076,0.7213424529348101
Lithuania,97.4798575,75.3329399108887,3.94,74.55634146341464,15786.5471050271,35.83,0.95,11.7179231976045,2889.386222222222,42.75,NaN,58.125,0.9430097162723541,0.5441944241523743,-0.23982957303524016,0.6136167585849762
Luxembourg,85.31316375,19.029984065464557,2.3,81.90487804878049,113830.2117058981,32.88,0.13999999999999999,7.674867660366425,4817.0793066666665,40.4,NaN,81.375,1.7038153171539308,0.7164597332477569,0.030215196684002875,0.9045992434024811
Madagascar,30.192652857142857,4.5846266746521,41.95,65.28529999999999,509.87242464313294,42.5,78.5,1.479991839989749,38.437920000000005,49.45,70.57499790191653,26.875,-1.1394761979579926,0.6458493338690864,-0.033725245441827506,0.5362971226374308
Malawi,32.17067625,0.808987998962402,39.38,60.8301,446.383293342249,42.9,71.26666666666667,7.950963374433401,50.3521,49.9,66.92499923706055,32.875,-0.5951196670532226,0.6146270963880751,0.04577694994319851,0.7701737218432956
Malaysia,74.39742625,41.36294517517091,6.959999999999999,75.3484,10539.177636756333,42.1,0.03333333333333333,49.478411077790696,1977.9187457142857,48.199999999999996,NaN,49.625,0.9897338628768921,0.7300390005111694,0.12429494538810104,0.8152797222137451
Maldives,NaN,26.143060366312667,8.790000000000001,77.4817,8672.26070440334,30.3,0,0.08464163467453151,NaN,39.15,31.099999427795403,32.25,-0.3236366555094719,NaN,0.02123395726084709,0.8547592759132385
Mali,31.747725,6.096023321151733,68.06,57.2848,811.5884297756121,36.1,16.3,4.269618221794252,31.035353333333333,43.9,54.10000038146973,31.625,-0.9603475272655487,0.7035249948501587,-0.058259883895516396,0.708292543888092
